Decision Rejected,SAT I (breakdown): First time 1380 Second time 1420 Third time 1500 (no super score),ACT (breakdown): First time 25 Second time 29 Third time 32 (didn't submit) lol took the sat and act three time in a row within 3 month,SAT II: Chinese 800 Math II 750,GPA (out of 4.0): 91%/100% (have to work 6-7 hr a day),Rank (percentile if rank is unavailable): Don't know... probably the top 15%,Gender:Male,Ethnicity:Asian Chinese ( I'm proud of my race),Income Bracket: 20k Low income,School Type: Public
Decision: Accepted,SAT I (breakdown): 1540 one sitting,ACT (breakdown): N/A,SAT II: 750+ on Math & Bio,GPA (out of 4.0): 3.9,Rank (percentile if rank is unavailable): Top 10,Gender: female,Ethnicity: asian,Income Bracket: upper middle class,School Type: public
,,,,,,,,,
,,,,,,,,,
Decision,SAT,ACT,Subject_tests,GPA,Rank,Gender,Ethnicity,Income_Bracket,School_Type
Decision: Accepted ED1 Objective:,SAT I (breakdown): N/A,ACT (breakdown):,SAT II:,GPA (out of 4.0):,Rank (percentile if rank is unavailable): N/A,Gender:,Ethnicity:,Income Bracket(mention if FA candidate): N/A,School Type:
Decision: Deferred EA Objective:,SAT I (breakdown): NA,"ACT (breakdown): 34C (34E, 35M, 35R, 32S)",SAT II: Math 2 - 800,GPA (out of 4.0): 3.95UW,Rank (percentile if rank is unavailable): NA,Gender: Male,Ethnicity: White,Income Bracket(mention if FA candidate): 140k,School Type: Good public
Decision: Accepted Objective:,SAT I (breakdown): 770M 760R (1530),ACT (breakdown): 36R 36S 35E 34M (35),"SAT II: 780 Math II, 780 Chemistry",GPA (out of 4.0): 3.9ish (My school doesn't tell us),Rank: Top 5%,Gender:Male,Ethnicity:Hispanic,"Income Bracket:$50,000-$70,000",School Type:Public
Decision: ED1 Rejected Objective:,SAT I (breakdown): N/A,"ACT (breakdown): 35C (English 35, Math 36, Science 34, Reading 34)","SAT II: Math II 800, Chemistry 760",GPA (out of 4.0): 3.75 (4.9/5.33 weighted),Rank (percentile if rank is unavailable): N/A,Gender: Male,Ethnicity: Asian,"Income Bracket(mention if FA candidate): $0. We are living off my brother (serviceman in the US Army) bonus which is $24,000, but will decrease to $15,000 next year when he is stationed in the states.",School Type: Public High School (New Trier High School)
Decision: Deferred EA [/b][/color][/size],SAT I (breakdown): N/A,"ACT (breakdown): 35 (35 English, 34 Math, 36 Reading, 36 Science; 11/12 Writing)",SAT II: 780 US 760 M2 750 World,GPA (out of 4.0): 4.33 (4.64 weighted),Rank (percentile if rank is unavailable): N/A,Gender: Male,Ethnicity: Caucasian,Income Bracket(mention if FA candidate): Upper middle class (75k-110k bracket),School Type: Private preparatory
Decision: Accepted ED1 Objective:,"SAT I (breakdown): 1540 composite (770/770, 7/8/7 essay)",ACT (breakdown): N/A,SAT II: N/A,GPA (out of 4.0): 3.97,Rank (percentile if rank is unavailable): N/A,Gender:,Ethnicity:,Income Bracket(mention if FA candidate):,School Type:
Decision: Accepted [/color][/size],SAT I (breakdown): 1520,ACT (breakdown):N/A,SAT II:N/A,GPA (out of 4.0):N/A,Rank (percentile if rank is unavailable):N/A,"Gender: Male (ish), jokes. Male",Ethnicity: White,Income Bracket(mention if FA candidate): no clue,School Type: Private
Decision: Rejected EA ][/Red,SAT I (breakdown):Test Optional,ACT (breakdown): Test Optional,SAT II:Test Optional,GPA (out of 4.0):3.72,Rank (percentile if rank is unavailable):19/67,Gender:Male,Ethnicity: African American (Nigerian),"Income Bracket(mention if FA candidate):73,000 for my dad working 2 jobs",School Type: Public Charter
Decision: Accepted EA ,"SAT I (breakdown): 1570 (800 M, 770 R/W)",ACT (breakdown): Didn’t take,"SAT II: 800 Math II, 800 Chem, 790 BioM",GPA (out of 4.0): 3.98,Rank (percentile if rank is unavailable): My school does not rank,Gender: Male,Ethnicity: African American,Income Bracket: < 40000,School Type: Specialized High School (Large Public)
Decision : Accepted,"SAT I (breakdown): 1520 730 CR, 790 M","ACT (breakdown): 34 C , 35 W, 32 M, 33, S, 34 R","SAT II: didn’t take , didn’t need them","GPA (out of 4.0): 3.7 UW, 4.25 W but probably going up to 4.3w soon",Rank (percentile if rank is unavailable): our school doesn’t rank,Gender: girl,Ethnicity: hispanic,Income Bracket(mention if FA candidate): middle,School Type: decent public
Decision: Accepted ED1,"SAT I: 1530, 800 M, 730 R/W",ACT: 34,SAT II: Didn't take,GPA (out of 4.0): 4.0,Rank: 12/700,Gender: Female,Ethnicity: White,,School Type: Public - 4000 students
"Decision: Deferred Early ActionObjective:SAT I (breakdown): 1480 [750 ERA; 730 Math]ACT (breakdown): Did Not TakeSAT II: NoneUnweighted GPA (out of 4.0): 4.00Rank (percentile if rank is unavailable): Top 5%AP (place score in parentheses): Lang (5), Physics (5)IB (place score in parentheses): NoneSenior Year Course Load: AP Calculus AB/BC, AP Prob & Stat, AP Lit, AP Euro, Hon. Wind Ensemble, Science ResearchMajor Awards: National Merit Commended StudentSubjective:Extracurriculars (place leadership in parentheses): Marching band (Section leader), Mock Trial team, Physics Olympics team (Captain), Academic Challenge (Captain)Job/Work Experience: NoneVolunteer/Community service: I spend my summers volunteering at a kids' camp and the local library.Summer Activities: Marching band, volunteering, physics master classes at a university an hour away (On par with Chicago, JHU, etc.)Essays: 8.5/10. My Common App essay was good and reflected me, but not particularly special. My Chicago-specific essays (I did the tree prompt) were fantastic, though, and one of them made a person editing them tear up a little.Teacher Recommendation: 10/10. I've had both teachers for two years, they know me very well, and have told me that writing letters for me was a blast.Counselor Rec: 7/10. He doesn't know me that well (Class of 200 kids), but he likes me well enough, worked off of my resume, and what other teachers have told him over the years (All good things!).Additional Rec: None.OtherApplied for Financial Aid?: YesState: MarylandSchool Type: Public RuralEthnicity: WhiteGender: FemaleIncome Bracket: <$100,000Hooks (URM, first generation college, etc.): Rural female going into STEM major.ReflectionStrengths: I have a bit of a hook, stellar grades, and excellent essays.Weaknesses: Test scores are a bit low for UChicago. That, and I haven't published research or won an Olympic medal.Why you think you were accepted/waitlisted/rejected: My mentioned weaknesses above, and most likely the fact that admissions at this level are a total crapshoot. I'm just counting myself lucky I'm not rejected.Where else were you accepted/waitlisted/rejected: This was my first college decision.General Comments: To be honest, while I was hopeful, I was expecting a rejection. However, I'm thrilled I'm still in it, and chose to apply EDII instead of RD. I may get rejected yet, but I still have a chance for another six weeks, and am taking full advantage of it. In the meantime, I have another seven apps out there and will hear back from another two schools by then, so it'll be interesting to see where this takes me.","SAT I (breakdown): 1480 [750 ERA; 730 Math]ACT (breakdown): Did Not TakeSAT II: NoneUnweighted GPA (out of 4.0): 4.00Rank (percentile if rank is unavailable): Top 5%AP (place score in parentheses): Lang (5), Physics (5)IB (place score in parentheses): NoneSenior Year Course Load: AP Calculus AB/BC, AP Prob & Stat, AP Lit, AP Euro, Hon. Wind Ensemble, Science ResearchMajor Awards: National Merit Commended StudentSubjective:Extracurriculars (place leadership in parentheses): Marching band (Section leader), Mock Trial team, Physics Olympics team (Captain), Academic Challenge (Captain)Job/Work Experience: NoneVolunteer/Community service: I spend my summers volunteering at a kids' camp and the local library.Summer Activities: Marching band, volunteering, physics master classes at a university an hour away (On par with Chicago, JHU, etc.)Essays: 8.5/10. My Common App essay was good and reflected me, but not particularly special. My Chicago-specific essays (I did the tree prompt) were fantastic, though, and one of them made a person editing them tear up a little.Teacher Recommendation: 10/10. I've had both teachers for two years, they know me very well, and have told me that writing letters for me was a blast.Counselor Rec: 7/10. He doesn't know me that well (Class of 200 kids), but he likes me well enough, worked off of my resume, and what other teachers have told him over the years (All good things!).Additional Rec: None.OtherApplied for Financial Aid?: YesState: MarylandSchool Type: Public RuralEthnicity: WhiteGender: FemaleIncome Bracket: <$100,000Hooks (URM, first generation college, etc.): Rural female going into STEM major.ReflectionStrengths: I have a bit of a hook, stellar grades, and excellent essays.Weaknesses: Test scores are a bit low for UChicago. That, and I haven't published research or won an Olympic medal.Why you think you were accepted/waitlisted/rejected: My mentioned weaknesses above, and most likely the fact that admissions at this level are a total crapshoot. I'm just counting myself lucky I'm not rejected.Where else were you accepted/waitlisted/rejected: This was my first college decision.General Comments: To be honest, while I was hopeful, I was expecting a rejection. However, I'm thrilled I'm still in it, and chose to apply EDII instead of RD. I may get rejected yet, but I still have a chance for another six weeks, and am taking full advantage of it. In the meantime, I have another seven apps out there and will hear back from another two schools by then, so it'll be interesting to see where this takes me.","ACT (breakdown): Did Not TakeSAT II: NoneUnweighted GPA (out of 4.0): 4.00Rank (percentile if rank is unavailable): Top 5%AP (place score in parentheses): Lang (5), Physics (5)IB (place score in parentheses): NoneSenior Year Course Load: AP Calculus AB/BC, AP Prob & Stat, AP Lit, AP Euro, Hon. Wind Ensemble, Science ResearchMajor Awards: National Merit Commended StudentSubjective:Extracurriculars (place leadership in parentheses): Marching band (Section leader), Mock Trial team, Physics Olympics team (Captain), Academic Challenge (Captain)Job/Work Experience: NoneVolunteer/Community service: I spend my summers volunteering at a kids' camp and the local library.Summer Activities: Marching band, volunteering, physics master classes at a university an hour away (On par with Chicago, JHU, etc.)Essays: 8.5/10. My Common App essay was good and reflected me, but not particularly special. My Chicago-specific essays (I did the tree prompt) were fantastic, though, and one of them made a person editing them tear up a little.Teacher Recommendation: 10/10. I've had both teachers for two years, they know me very well, and have told me that writing letters for me was a blast.Counselor Rec: 7/10. He doesn't know me that well (Class of 200 kids), but he likes me well enough, worked off of my resume, and what other teachers have told him over the years (All good things!).Additional Rec: None.OtherApplied for Financial Aid?: YesState: MarylandSchool Type: Public RuralEthnicity: WhiteGender: FemaleIncome Bracket: <$100,000Hooks (URM, first generation college, etc.): Rural female going into STEM major.ReflectionStrengths: I have a bit of a hook, stellar grades, and excellent essays.Weaknesses: Test scores are a bit low for UChicago. That, and I haven't published research or won an Olympic medal.Why you think you were accepted/waitlisted/rejected: My mentioned weaknesses above, and most likely the fact that admissions at this level are a total crapshoot. I'm just counting myself lucky I'm not rejected.Where else were you accepted/waitlisted/rejected: This was my first college decision.General Comments: To be honest, while I was hopeful, I was expecting a rejection. However, I'm thrilled I'm still in it, and chose to apply EDII instead of RD. I may get rejected yet, but I still have a chance for another six weeks, and am taking full advantage of it. In the meantime, I have another seven apps out there and will hear back from another two schools by then, so it'll be interesting to see where this takes me.","SAT II: NoneUnweighted GPA (out of 4.0): 4.00Rank (percentile if rank is unavailable): Top 5%AP (place score in parentheses): Lang (5), Physics (5)IB (place score in parentheses): NoneSenior Year Course Load: AP Calculus AB/BC, AP Prob & Stat, AP Lit, AP Euro, Hon. Wind Ensemble, Science ResearchMajor Awards: National Merit Commended StudentSubjective:Extracurriculars (place leadership in parentheses): Marching band (Section leader), Mock Trial team, Physics Olympics team (Captain), Academic Challenge (Captain)Job/Work Experience: NoneVolunteer/Community service: I spend my summers volunteering at a kids' camp and the local library.Summer Activities: Marching band, volunteering, physics master classes at a university an hour away (On par with Chicago, JHU, etc.)Essays: 8.5/10. My Common App essay was good and reflected me, but not particularly special. My Chicago-specific essays (I did the tree prompt) were fantastic, though, and one of them made a person editing them tear up a little.Teacher Recommendation: 10/10. I've had both teachers for two years, they know me very well, and have told me that writing letters for me was a blast.Counselor Rec: 7/10. He doesn't know me that well (Class of 200 kids), but he likes me well enough, worked off of my resume, and what other teachers have told him over the years (All good things!).Additional Rec: None.OtherApplied for Financial Aid?: YesState: MarylandSchool Type: Public RuralEthnicity: WhiteGender: FemaleIncome Bracket: <$100,000Hooks (URM, first generation college, etc.): Rural female going into STEM major.ReflectionStrengths: I have a bit of a hook, stellar grades, and excellent essays.Weaknesses: Test scores are a bit low for UChicago. That, and I haven't published research or won an Olympic medal.Why you think you were accepted/waitlisted/rejected: My mentioned weaknesses above, and most likely the fact that admissions at this level are a total crapshoot. I'm just counting myself lucky I'm not rejected.Where else were you accepted/waitlisted/rejected: This was my first college decision.General Comments: To be honest, while I was hopeful, I was expecting a rejection. However, I'm thrilled I'm still in it, and chose to apply EDII instead of RD. I may get rejected yet, but I still have a chance for another six weeks, and am taking full advantage of it. In the meantime, I have another seven apps out there and will hear back from another two schools by then, so it'll be interesting to see where this takes me.","GPA (out of 4.0): 4.00Rank (percentile if rank is unavailable): Top 5%AP (place score in parentheses): Lang (5), Physics (5)IB (place score in parentheses): NoneSenior Year Course Load: AP Calculus AB/BC, AP Prob & Stat, AP Lit, AP Euro, Hon. Wind Ensemble, Science ResearchMajor Awards: National Merit Commended StudentSubjective:Extracurriculars (place leadership in parentheses): Marching band (Section leader), Mock Trial team, Physics Olympics team (Captain), Academic Challenge (Captain)Job/Work Experience: NoneVolunteer/Community service: I spend my summers volunteering at a kids' camp and the local library.Summer Activities: Marching band, volunteering, physics master classes at a university an hour away (On par with Chicago, JHU, etc.)Essays: 8.5/10. My Common App essay was good and reflected me, but not particularly special. My Chicago-specific essays (I did the tree prompt) were fantastic, though, and one of them made a person editing them tear up a little.Teacher Recommendation: 10/10. I've had both teachers for two years, they know me very well, and have told me that writing letters for me was a blast.Counselor Rec: 7/10. He doesn't know me that well (Class of 200 kids), but he likes me well enough, worked off of my resume, and what other teachers have told him over the years (All good things!).Additional Rec: None.OtherApplied for Financial Aid?: YesState: MarylandSchool Type: Public RuralEthnicity: WhiteGender: FemaleIncome Bracket: <$100,000Hooks (URM, first generation college, etc.): Rural female going into STEM major.ReflectionStrengths: I have a bit of a hook, stellar grades, and excellent essays.Weaknesses: Test scores are a bit low for UChicago. That, and I haven't published research or won an Olympic medal.Why you think you were accepted/waitlisted/rejected: My mentioned weaknesses above, and most likely the fact that admissions at this level are a total crapshoot. I'm just counting myself lucky I'm not rejected.Where else were you accepted/waitlisted/rejected: This was my first college decision.General Comments: To be honest, while I was hopeful, I was expecting a rejection. However, I'm thrilled I'm still in it, and chose to apply EDII instead of RD. I may get rejected yet, but I still have a chance for another six weeks, and am taking full advantage of it. In the meantime, I have another seven apps out there and will hear back from another two schools by then, so it'll be interesting to see where this takes me.","Rank (percentile if rank is unavailable): Top 5%AP (place score in parentheses): Lang (5), Physics (5)IB (place score in parentheses): NoneSenior Year Course Load: AP Calculus AB/BC, AP Prob & Stat, AP Lit, AP Euro, Hon. Wind Ensemble, Science ResearchMajor Awards: National Merit Commended StudentSubjective:Extracurriculars (place leadership in parentheses): Marching band (Section leader), Mock Trial team, Physics Olympics team (Captain), Academic Challenge (Captain)Job/Work Experience: NoneVolunteer/Community service: I spend my summers volunteering at a kids' camp and the local library.Summer Activities: Marching band, volunteering, physics master classes at a university an hour away (On par with Chicago, JHU, etc.)Essays: 8.5/10. My Common App essay was good and reflected me, but not particularly special. My Chicago-specific essays (I did the tree prompt) were fantastic, though, and one of them made a person editing them tear up a little.Teacher Recommendation: 10/10. I've had both teachers for two years, they know me very well, and have told me that writing letters for me was a blast.Counselor Rec: 7/10. He doesn't know me that well (Class of 200 kids), but he likes me well enough, worked off of my resume, and what other teachers have told him over the years (All good things!).Additional Rec: None.OtherApplied for Financial Aid?: YesState: MarylandSchool Type: Public RuralEthnicity: WhiteGender: FemaleIncome Bracket: <$100,000Hooks (URM, first generation college, etc.): Rural female going into STEM major.ReflectionStrengths: I have a bit of a hook, stellar grades, and excellent essays.Weaknesses: Test scores are a bit low for UChicago. That, and I haven't published research or won an Olympic medal.Why you think you were accepted/waitlisted/rejected: My mentioned weaknesses above, and most likely the fact that admissions at this level are a total crapshoot. I'm just counting myself lucky I'm not rejected.Where else were you accepted/waitlisted/rejected: This was my first college decision.General Comments: To be honest, while I was hopeful, I was expecting a rejection. However, I'm thrilled I'm still in it, and chose to apply EDII instead of RD. I may get rejected yet, but I still have a chance for another six weeks, and am taking full advantage of it. In the meantime, I have another seven apps out there and will hear back from another two schools by then, so it'll be interesting to see where this takes me.","Gender: FemaleIncome Bracket: <$100,000Hooks (URM, first generation college, etc.): Rural female going into STEM major.ReflectionStrengths: I have a bit of a hook, stellar grades, and excellent essays.Weaknesses: Test scores are a bit low for UChicago. That, and I haven't published research or won an Olympic medal.Why you think you were accepted/waitlisted/rejected: My mentioned weaknesses above, and most likely the fact that admissions at this level are a total crapshoot. I'm just counting myself lucky I'm not rejected.Where else were you accepted/waitlisted/rejected: This was my first college decision.General Comments: To be honest, while I was hopeful, I was expecting a rejection. However, I'm thrilled I'm still in it, and chose to apply EDII instead of RD. I may get rejected yet, but I still have a chance for another six weeks, and am taking full advantage of it. In the meantime, I have another seven apps out there and will hear back from another two schools by then, so it'll be interesting to see where this takes me.","Ethnicity: WhiteGender: FemaleIncome Bracket: <$100,000Hooks (URM, first generation college, etc.): Rural female going into STEM major.ReflectionStrengths: I have a bit of a hook, stellar grades, and excellent essays.Weaknesses: Test scores are a bit low for UChicago. That, and I haven't published research or won an Olympic medal.Why you think you were accepted/waitlisted/rejected: My mentioned weaknesses above, and most likely the fact that admissions at this level are a total crapshoot. I'm just counting myself lucky I'm not rejected.Where else were you accepted/waitlisted/rejected: This was my first college decision.General Comments: To be honest, while I was hopeful, I was expecting a rejection. However, I'm thrilled I'm still in it, and chose to apply EDII instead of RD. I may get rejected yet, but I still have a chance for another six weeks, and am taking full advantage of it. In the meantime, I have another seven apps out there and will hear back from another two schools by then, so it'll be interesting to see where this takes me.","Income Bracket: <$100,000Hooks (URM, first generation college, etc.): Rural female going into STEM major.ReflectionStrengths: I have a bit of a hook, stellar grades, and excellent essays.Weaknesses: Test scores are a bit low for UChicago. That, and I haven't published research or won an Olympic medal.Why you think you were accepted/waitlisted/rejected: My mentioned weaknesses above, and most likely the fact that admissions at this level are a total crapshoot. I'm just counting myself lucky I'm not rejected.Where else were you accepted/waitlisted/rejected: This was my first college decision.General Comments: To be honest, while I was hopeful, I was expecting a rejection. However, I'm thrilled I'm still in it, and chose to apply EDII instead of RD. I may get rejected yet, but I still have a chance for another six weeks, and am taking full advantage of it. In the meantime, I have another seven apps out there and will hear back from another two schools by then, so it'll be interesting to see where this takes me.","School Type: Public RuralEthnicity: WhiteGender: FemaleIncome Bracket: <$100,000Hooks (URM, first generation college, etc.): Rural female going into STEM major.ReflectionStrengths: I have a bit of a hook, stellar grades, and excellent essays.Weaknesses: Test scores are a bit low for UChicago. That, and I haven't published research or won an Olympic medal.Why you think you were accepted/waitlisted/rejected: My mentioned weaknesses above, and most likely the fact that admissions at this level are a total crapshoot. I'm just counting myself lucky I'm not rejected.Where else were you accepted/waitlisted/rejected: This was my first college decision.General Comments: To be honest, while I was hopeful, I was expecting a rejection. However, I'm thrilled I'm still in it, and chose to apply EDII instead of RD. I may get rejected yet, but I still have a chance for another six weeks, and am taking full advantage of it. In the meantime, I have another seven apps out there and will hear back from another two schools by then, so it'll be interesting to see where this takes me."
Decision: Deferred EA Formatting PSA: put [ list] before each set of [ *] to get bulletsObjective:,"SAT I (breakdown): 1600 (800 reading, 800 math, 6/6/6 essay)",ACT (breakdown): N/A,"SAT II: 800 in Math II, 800 in Physics",GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): N/A,Gender: female,Ethnicity: Asian,"Income Bracket (mention if FA candidate): >$200,000","School Type: selective public magnet, class size <100"
"Decision in late November of 2018. As you can probably infer, this was a major surprise! Was anyone else accepted? Can anyone explain why a Regular Decision student might be accepted MONTHS before the RD Decision Release date in March?",SAT I (breakdown): N/A,"ACT (breakdown): 33C, 34 Superscore (35E, 29M, 36R, 35S)",SAT II: 700 Biology E 720 Literature,GPA (out of 4.0): 3.91,Rank (percentile if rank is unavailable): 26 of 471,Gender: Female,Ethnicity: Black,Income Bracket(mention if FA candidate): Greater than 400k,School Type: Public
,,,,"GPA and I'm freaking out about my essays. I know UChicago expects like unconventional, brilliant essays.",,,,,
,,,,,,,,,
,,,,,,,,,
Decision,SAT,ACT,Subject_tests,GPA,Rank,Gender,Ethnicity,Income_Bracket,School_Type
Decision: Waitlisted,SAT I: N/A,"ACT: 30 C (E: 32, M:28, R:35, S: 26), 31 Superscore (E:34, M:28, R:35, S:26)",SAT II: 710 Bio 710 US 610,GPA: 4.32 W 3.81 UW (Top 10% of Class),"Ranked 3rd Best PF debater in state, Winning Record at NCFL Nationals, Placed at Competitive Tri-State Nationals-Qualifying Tournament, Championed Conference Tournament, Placed numerous times on local circuit, Varsity Letter, NSDA member with distinction)",,,,
Decision: Waitlisted/b/color/size,,"ACT (breakdown): 34 Superscore, 33 composite",,"GPA (out of 4.0): 3.62 out of 4 unweighted, 5.33 out of 6 weighted gpa",Rank (percentile if rank is unavailable): top 20%,Gender: F,Ethnicity: Asian,Income Bracket: ~130k,"School Type: Public, competitive"
Decision: Waitlisted,"SAT I (Comp, Essay, CR, M, CW): n/a","ACT (Comp, Essay, Eng, Math, Read, Sci): 31: 35E, 34R, 29M, 25S","SAT II (Type, Score): n/a",GPA (out of ??): n/a,Rank (percentile if rank is unavailable): 33/~250,Gender: Male,Ethnicity: African American,Income Bracket: less than 20k annually,School Type: Extremely low ranked Public
Decision: Accepted Objective:,"SAT I (Comp, Essay, CR, M, CW): 1520 (17, 760, 760)","ACT (Comp, Essay, Eng, Math, Read, Sci): n/a","SAT II (Type, Score): 670 math II, 670 literature (didn't submit)",GPA (out of ??): 3.6,Rank (percentile if rank is unavailable): n/a,Gender: Female,Ethnicity: African American,Income Bracket: middle class,School Type: Public
Decision: Rejected,"SAT: 1590 (800M, 790V, 20 Essay)",ACT: didn't take,"SAT II: 800 Math II, 800 Chem, 800 Spanish (Reading only)","GPA: 4.16 UW (my school does it out of 4.3; A+ is 4.3, no weighting)",Rank: school doesn't rank,Gender: F,Ethnicity: Asian,Income Bracket: ~$120k,School Type: Small public
,"SAT 1350. 9 APs. wGPA 4.56. Class decile rank 1&758 (top 10%), large public.",,,"GPA 4.56. Class decile rank 1&758 (top 10%), large public.",,,,,
Decision: Accepted,SAT I (breakdown): N/A,ACT (breakdown): 33 SS,SAT II: 730 USH 670 Lit,GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): 3/590,Gender: M,Ethnicity: Black,"Income Bracket: 60,000",School Type: Public
Decision: Waitlisted/b/color/size,SAT I (breakdown): N/A,ACT (breakdown): 34 C,SAT II: 800 M2 770 Bio-M,GPA (out of 4.0): 4.33,Rank (percentile if rank is unavailable): 1/106,Gender: M,Ethnicity: --,Income Bracket: --,School Type: Public
Decision: Waitlisted,SAT I (breakdown): N/A,ACT (breakdown): 34 C,SAT II: 800 M2 770 Bio-M,GPA (out of 4.0): 4.33,Rank (percentile if rank is unavailable): 1/106,Gender: M,Ethnicity: --,Income Bracket: --,School Type: Public
Decision: Waitlisted    Objective: ,"SAT II (Superscore): (1540, 21, 740, 800)","ACT: (35, 10, 36, 35, 35, 34)","SAT II (Superscore): (1540, 21, 740, 800)",GPA: 5.78/6.00,Rank (percentile if rank is unavailable): 30/608,Gender: Female,Ethnicity: Indian,Income Bracket: 200K +,School Type: Competitive Public
Decision: Deferred EA then Accepted,"SAT I (breakdown): 1530 (760 Reading, 770 Math); Essay 8/8/7","ACT (breakdown): 36 (36E, 36M, 35R, 36S); Essay 12","SAT II: 800 Molecular Biology, 760 Math II",GPA (out of 4.0): 4.00,Rank (percentile if rank is unavailable): N/A; top 5% of grade,Gender: Female,Ethnicity: White,,School Type: Private Parochial
Decision: Accepted[/b][/color][/size],"SAT I (Comp, Essay, CR, M, CW): didn't take it","ACT (Comp, Essay, Eng, Math, Read, Sci): 31 comp (34E, 25M, 35R, 28S); 9 writing","SAT II (Type, Score): don't remember my scores to well but I didn't do too hot on Latin, and did pretty well on Literature and US History",GPA (out of 100): 95.92,Rank (percentile if rank is unavailable): school does not rank,Gender: female,Ethnicity: black,Income Bracket: not sure exactly but my family is well off,School Type: private catholic school
,"SAT (one take - sophomore year) SATII- Math2, Chem, Bio - 800. 11 APs - 5 - senior year... all 5 ... until now. GPA 4 w 4.7. Volunteering with underprivileged kids for a long time. National Merrit Finalist. President of 3 clubs in his HS. Arts program summer of freshman year. Biotech internship 2 summers (sophomore, junior year)",,,"GPA 4 w 4.7. Volunteering with underprivileged kids for a long time. National Merrit Finalist. President of 3 clubs in his HS. Arts program summer of freshman year. Biotech internship 2 summers (sophomore, junior year)",,,,,
Decision: WaitlistedObjective:,"SAT I (Comp, Essay, CR, M, CW): 1540, 21(? I don't remember), 780, 760","ACT (Comp, Essay, Eng, Math, Read, Sci): 35, 9, 34, 35, 36, 33","SAT II: Math IIC 800, Korean 790, USH 730",GPA (out of 4.0): 4.7,Rank: top 5%,Gender: F,Ethnicity: Asian,,School Type: Public
Decision: Waitlisted,"SAT I (Comp, Essay, CR, M, CW): Didn't take","ACT (Comp, Essay, Eng, Math, Read, Sci): 33 (E:35, R: 35, M:30, S: 30)","SAT II (Type, Score): Didn't take","GPA (out of ??): 4.2 (strong upward trend and you can definitely see that by looking at my transcript. It was just the very beginning of high school that brought me down, but never made less than a B+)","Rank (percentile if rank is unavailable): School doesn't rank (however, a girl from my school applied with a 4.5, so they could tell I'm not going to be val or anything) (if did rank, probably around top 12% or so)",Gender: F,Ethnicity:White,Income Bracket: didn't apply for FA,School Type: Private (competitive)
Decision: Waitlisted,"SAT I (Comp, Essay, CR, M, CW): 1530 Superscore","ACT (Comp, Essay, Eng, Math, Read, Sci): 31 (Don't think I sent it though)","SAT II (Type, Score):Didn't send",GPA (out of ??): 4.304 out of 4.0,"Rank (percentile if rank is unavailable): 3/277 (Weighted), (24/277 UW)",Gender: Female,Ethnicity: White,,"School Type: Public, somewhat rural"
,"SAT I: 1280 (Math: 590, Reading/Writing: 690) (did not submit)","ACT: 29 (English:31, Math:24, Reading:35, Science:24)",,GPA: 4.07 of ?,Rank: 47/530,Gender: Female,Ethnicity: African American,Income Bracket: not expecting FA,School Type: public
Decision: Waitlisted,"SAT I (Comp, Essay, CR, M, CW): NA","ACT (Comp, Essay, Eng, Math, Read, Sci): 32, 12, 33, 31, 36, 29","SAT II (Type, Score): NA",GPA (out of ??):,Rank (percentile if rank is unavailable): 21 out of 222,Gender: Male,Ethnicity: White,Income Bracket: Middle Income,School Type: Public
Decision: AcceptedObjective:,"SAT I (Comp, Essay, CR, M, CW): 2250 overall, 800 Reading, 770 Math, 680 Writing","ACT (Comp, Essay, Eng, Math, Read, Sci): N/A","SAT II (Type, Score): 1570 overall, 800 Reading and 770 Math",GPA (out of 5.0): 5.0,Rank (percentile if rank is unavailable): 1,Gender: Female,Ethnicity: Asian and white,"Income Bracket: Upper-middle class, applied and received financial aid (brother in college)",School Type: Public (w/ IB)
Decision,SAT,ACT,Subject_tests,GPA,Rank,Gender,Ethnicity,Income_Bracket,School_Type
,,,,,,,,,
Decision: Rejected - Wharton[ /color],"SAT I (breakdown M/CR/W/Essay): 1520 (790 Math, 730 English, 16/24 Essay)",ACT (breakdown): NA,"SAT II (subject, score): Math II: 800, Literature: 640",GPA: NA (School doesn't use GPA),Rank (percentile if rank is unavailable): NA (School doesn't use rank),Gender: Male,Ethnicity: Indian,"Income Bracket Range: Around $200,000","School Type: Private, Boarding, All Boys"
Decision: Rejected - Wharton[ /color],"SAT I (breakdown M/CR/W/Essay): 1560 (790 M, 770 R, 24 Essay)",ACT (breakdown): None,"SAT II (subject, score): 800 on Math II, Chemistry, World History",GPA: 3.99,Rank (percentile if rank is unavailable): ~50/450 (out of top 10% due to running start statpadders lmao),Gender:Male,Ethnicity: Asian,Income Bracket Range: 200k+,School Type: large public
Decision: Accepted - CAS[ /color],SAT I (breakdown M/CR/W/Essay): NA,ACT (breakdown): 34 (35 all except 31 math),"SAT II (subject, score): Spanish 800, us history 710","GPA: 5.11 on my school’s scale, approx 3.85/4.0","Rank (percentile if rank is unavailable): 24/423, didn’t report",Gender: F,Ethnicity: Hispanic,Income Bracket Range: ~125k,School Type: parochial
